================================================================================
LICENSE DETAILS (ALL DEPENDENCIES INCLUDING TRANSITIVE)
================================================================================
encoding_rs                      (Apache-2.0 OR MIT) AND BSD-3-Clause
moka                             (MIT OR Apache-2.0) AND Apache-2.0
unicode-ident                    (MIT OR Apache-2.0) AND Unicode-3.0
enum-iterator                    0BSD
enum-iterator-derive             0BSD
adler2                           0BSD OR MIT OR Apache-2.0
aerospike                        Apache-2.0
aerospike-core                   Apache-2.0
aerospike-macro                  Apache-2.0
aerospike-rt                     Apache-2.0
blst                             Apache-2.0
borsh-derive                     Apache-2.0
c-kzg                            Apache-2.0
cairo-native                     Apache-2.0
cairo-vm                         Apache-2.0
ciborium                         Apache-2.0
ciborium-io                      Apache-2.0
ciborium-ll                      Apache-2.0
clang-sys                        Apache-2.0
dissimilar                       Apache-2.0
fragile                          Apache-2.0
google-cloud-auth                Apache-2.0
google-cloud-storage             Apache-2.0
insta                            Apache-2.0
lambdaworks-crypto               Apache-2.0
lambdaworks-math                 Apache-2.0
lifetimed-bytes                  Apache-2.0
melior                           Apache-2.0
melior-macro                     Apache-2.0
microlp                          Apache-2.0
num-modular                      Apache-2.0
num-prime                        Apache-2.0
openssl                          Apache-2.0
parity-scale-codec               Apache-2.0
parity-scale-codec-derive        Apache-2.0
prometheus-parse                 Apache-2.0
prost                            Apache-2.0
prost-build                      Apache-2.0
prost-derive                     Apache-2.0
prost-types                      Apache-2.0
rust-rocksdb                     Apache-2.0
similar                          Apache-2.0
sketches-ddsketch                Apache-2.0
sync_wrapper                     Apache-2.0
fnv                              Apache-2.0 / MIT
ring                             Apache-2.0 AND ISC
ryu                              Apache-2.0 OR BSL-1.0
hyper-rustls                     Apache-2.0 OR ISC OR MIT
rustls                           Apache-2.0 OR ISC OR MIT
rustls-native-certs              Apache-2.0 OR ISC OR MIT
rustls-pemfile                   Apache-2.0 OR ISC OR MIT
sct                              Apache-2.0 OR ISC OR MIT
aes-gcm                          Apache-2.0 OR MIT
async-channel                    Apache-2.0 OR MIT
async-io                         Apache-2.0 OR MIT
async-lock                       Apache-2.0 OR MIT
atomic-waker                     Apache-2.0 OR MIT
autocfg                          Apache-2.0 OR MIT
base16ct                         Apache-2.0 OR MIT
base64ct                         Apache-2.0 OR MIT
bit-set                          Apache-2.0 OR MIT
bit-vec                          Apache-2.0 OR MIT
chacha20poly1305                 Apache-2.0 OR MIT
concurrent-queue                 Apache-2.0 OR MIT
const-oid                        Apache-2.0 OR MIT
core2                            Apache-2.0 OR MIT
criterion                        Apache-2.0 OR MIT
criterion-plot                   Apache-2.0 OR MIT
crypto-bigint                    Apache-2.0 OR MIT
der                              Apache-2.0 OR MIT
ecdsa                            Apache-2.0 OR MIT
ed25519                          Apache-2.0 OR MIT
elliptic-curve                   Apache-2.0 OR MIT
encode_unicode                   Apache-2.0 OR MIT
equivalent                       Apache-2.0 OR MIT
event-listener                   Apache-2.0 OR MIT
event-listener-strategy          Apache-2.0 OR MIT
fastrand                         Apache-2.0 OR MIT
futures-lite                     Apache-2.0 OR MIT
ghash                            Apache-2.0 OR MIT
idna_adapter                     Apache-2.0 OR MIT
indexmap                         Apache-2.0 OR MIT
k256                             Apache-2.0 OR MIT
keccak                           Apache-2.0 OR MIT
lalrpop                          Apache-2.0 OR MIT
lalrpop-util                     Apache-2.0 OR MIT
nohash-hasher                    Apache-2.0 OR MIT
parking                          Apache-2.0 OR MIT
pem-rfc7468                      Apache-2.0 OR MIT
pin-project                      Apache-2.0 OR MIT
pin-project-internal             Apache-2.0 OR MIT
pin-project-lite                 Apache-2.0 OR MIT
pkcs8                            Apache-2.0 OR MIT
polling                          Apache-2.0 OR MIT
poly1305                         Apache-2.0 OR MIT
polyval                          Apache-2.0 OR MIT
portable-atomic                  Apache-2.0 OR MIT
